NN CREATED N.5
NEURONS = 56 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.683333 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.850000
NEURONS = 57 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.700000 	 ACCURACY_3 = 0.887850 	 ACCURACY_OVERALL = 0.850000
NEURONS = 58 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.700000 	 ACCURACY_3 = 0.887850 	 ACCURACY_OVERALL = 0.850000
NEURONS = 59 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.683333 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.850000
NEURONS = 60 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.716667 	 ACCURACY_3 = 0.887850 	 ACCURACY_OVERALL = 0.853846
NEURONS = 61 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.666667 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.846154
NEURONS = 62 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.733333 	 ACCURACY_3 = 0.887850 	 ACCURACY_OVERALL = 0.857692
NEURONS = 63 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.766667 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.869231
NEURONS = 64 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.766667 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.869231
NEURONS = 65 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.716667 	 ACCURACY_3 = 0.887850 	 ACCURACY_OVERALL = 0.853846
NEURONS = 66 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.716667 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.857692
NEURONS = 67 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.700000 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.853846
NEURONS = 68 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.683333 	 ACCURACY_3 = 0.906542 	 ACCURACY_OVERALL = 0.853846
NEURONS = 69 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.766667 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.869231
NEURONS = 70 		 ACCURACY_1 = 0.881720 	 ACCURACY_2 = 0.666667 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.838462
NEURONS = 71 		 ACCURACY_1 = 0.881720 	 ACCURACY_2 = 0.700000 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.846154
NEURONS = 72 		 ACCURACY_1 = 0.870968 	 ACCURACY_2 = 0.700000 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.842308
NEURONS = 73 		 ACCURACY_1 = 0.849462 	 ACCURACY_2 = 0.700000 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.834615
NEURONS = 74 		 ACCURACY_1 = 0.870968 	 ACCURACY_2 = 0.733333 	 ACCURACY_3 = 0.906542 	 ACCURACY_OVERALL = 0.853846
NEURONS = 75 		 ACCURACY_1 = 0.913978 	 ACCURACY_2 = 0.766667 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.873077
NEURONS = 76 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.766667 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.869231
NEURONS = 77 		 ACCURACY_1 = 0.860215 	 ACCURACY_2 = 0.750000 	 ACCURACY_3 = 0.906542 	 ACCURACY_OVERALL = 0.853846
NEURONS = 78 		 ACCURACY_1 = 0.860215 	 ACCURACY_2 = 0.750000 	 ACCURACY_3 = 0.906542 	 ACCURACY_OVERALL = 0.853846
NEURONS = 79 		 ACCURACY_1 = 0.892473 	 ACCURACY_2 = 0.750000 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.861538
NEURONS = 80 		 ACCURACY_1 = 0.892473 	 ACCURACY_2 = 0.750000 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.861538
NEURONS = 81 		 ACCURACY_1 = 0.892473 	 ACCURACY_2 = 0.766667 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.865385
NEURONS = 82 		 ACCURACY_1 = 0.870968 	 ACCURACY_2 = 0.733333 	 ACCURACY_3 = 0.906542 	 ACCURACY_OVERALL = 0.853846
NEURONS = 83 		 ACCURACY_1 = 0.881720 	 ACCURACY_2 = 0.750000 	 ACCURACY_3 = 0.925234 	 ACCURACY_OVERALL = 0.869231
NEURONS = 84 		 ACCURACY_1 = 0.913978 	 ACCURACY_2 = 0.766667 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.873077
NEURONS = 85 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.766667 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.869231
NEURONS = 86 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.766667 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.869231
NEURONS = 87 		 ACCURACY_1 = 0.903226 	 ACCURACY_2 = 0.783333 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.873077
NEURONS = 88 		 ACCURACY_1 = 0.913978 	 ACCURACY_2 = 0.750000 	 ACCURACY_3 = 0.897196 	 ACCURACY_OVERALL = 0.869231
NEURONS = 89 		 ACCURACY_1 = 0.870968 	 ACCURACY_2 = 0.733333 	 ACCURACY_3 = 0.915888 	 ACCURACY_OVERALL = 0.857692
